created_at,Text,Tweet_ID
2019-06-01 19:35:57,الفاضية وتبي تسولف تضيفني واجيها خاص😉 #سكس_كتابي  #ليفربول_توتنهام,1134906448293564418
2019-06-01 19:35:57,"#ليفربول_توتنهام 
امنعونا من الردى حنى ناقصين مصلخ🤦‍♂️😂😂",1134906449891602432
2019-06-01 19:35:57,محمد صلاح فخر العرب #ليفربول_توتنهام,1134906450319466496
2019-06-01 19:35:57,"#السعودية
#صفحة_من_كتاب 
#ليفربول_توتنهام  
كتاب #العبقرية و #الإبداع و #القيادة ، تأليف دين كيث سايمنتن https://t.co/I6g538FcfR",1134906450453630976
2019-06-01 19:35:57,#ليفربول_توتنهام,1134906449254133763
2019-06-01 19:35:58,"#ليفربول_توتنهام
للي يدور اللي دخلت الملعب ترى مافيه فرق https://t.co/MBKJ93IMlh",1134906452001349634
2019-06-01 19:35:58,"#ليفربول_توتنهام

🥳🥳🥳🥳",1134906454484406274
2019-06-01 19:35:58,"الله يهديها بس تهورت
#ليفربول_توتنهام https://t.co/5LofrhwWII",1134906452177510403
2019-06-01 19:35:59,"#ليفربول_توتنهام
 😂😂😂😂😂#UCLfinal https://t.co/HxTdPIymNf",1134906455642054657
2019-06-01 19:35:57,"""القطعة"" الناقصة من ""فار"" #الترجي_الوداد امبارح 😂😂

#ليفربول_توتنهام
#محمد_صلاح
#ynwa
#UCLfinal https://t.co/hl38Oyt4iC",1134906448150978560
2019-06-01 19:35:59,"الي نزلت الملعب :
 #ليفربول_توتنهام https://t.co/oOF17pAbID",1134906456694775808
2019-06-01 19:36:00,"دخول المشجعة 😂💔
 #ليفربول_توتنهام",1134906460889133058
2019-06-01 19:36:00,"اشكال العوائل بعد مادخل الجسم الغريب الملعب:
 #ليفربول_توتنهام https://t.co/PHP4tIRUs9",1134906462596141056
2019-06-01 19:36:00,٢٤ ساعة فصلت دوري أبطال أفريقيا عن دوري أبطال أوروبا لكن الفارق الحقيقي بينهما مثل الفارق بين السماء والأرض… https://t.co/TqMGHaNTeA,1134906460750655488
2019-06-01 19:36:01,#ليفربول_توتنهام مباراة نايمة فنياً أبرز لقطة فيها تستحق الذكر نزول المشجعة.,1134906466845057024
2019-06-01 19:36:02,"#ليفربول_توتنهام
هدف لتوتنهام ...مجرد وقت",1134906468015247360
2019-06-01 19:36:02,لقطة فريدة حصلت ف نهائي دوري ابطال أوروبا😂😂 #ليفربول_توتنهام https://t.co/ruoYbg3ywy,1134906470494101504
2019-06-01 19:36:04,😂😂😂😂😂,1134906476793946112
2019-06-01 19:36:06,"بسم الله الرحمن الرحيم 
والهدف الاول 
رضا شحاته 😂😂😂😂
#ليفربول_توتنهام",1134906485161517056
2019-06-01 19:36:05,"نفس الشيء بس أنتم تحبون الأجانب  
 #ليفربول_توتنهام https://t.co/myXf0pdQhY",1134906480640036865
2019-06-01 19:36:06,#ليفربول_توتنهام حسب ما وصلني المشجع اللي دخلت الملعب ممثله اباحيه وتحاول تروج لموقعها,1134906488126889985
2019-06-01 19:36:07,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,1134906491796885504
2019-06-01 19:36:07,ياربيييييه 💔💔💔 #ليفربول_توتنهام https://t.co/cef5rXX4Vz,1134906491364892674
2019-06-01 19:36:08,"كويس ابويا ماكان فيه لما نزلت الحيوانه للملعب ..😂😂😂🤦🏻‍♀️💔
 #ليفربول_توتنهام",1134906494355419137
2019-06-01 19:36:08,مو هذا الحكم الي حطة السويلم في قائمة ال Blacklist 😂 #ليفربول_توتنهام,1134906496347705345
2019-06-01 19:36:09,#ليفربول_توتنهام https://t.co/FX2Oejgiaj,1134906498172297218
2019-06-01 19:36:09,"رابط بث مباشر #نهائي_دوري_أبطال_أوروبا 

#ليفربول_توتنهام

رابط البث 👇👇

https://t.co/Px3EqlkUrS

اشترك الان iptv ف… https://t.co/FqZ0IIqWKv",1134906499338256384
2019-06-01 19:36:09,#ليفربول_توتنهام سحبنا على المباراه وجلسنا نشوف المفصخه😂😂😂,1134906499556417536
2019-06-01 19:36:09,"#ليفربول_توتنهام
هدايا العيد بأسعار مناسبة التوصيل مع المندوب داخل بريدة فقط https://t.co/8wvWHl1meV",1134906497920577541
2019-06-01 19:36:09,وضع الشعب مع اللي دخلت الملعب  #ليفربول_توتنهام https://t.co/Gs5jwmWGi7,1134906497744420864
2019-06-01 19:36:11,والله ماتيب قوي الله ياخذه، وما يبغونه جماهير الليڤر جيبوووهههه انا راضي💔💔 #ليفربول_توتنهام,1134906507752067072
2019-06-01 19:36:13,ابومكه وبس 🥇❤️❤️❤️❤️ #ليفربول_توتنهام,1134906516669194241
2019-06-01 19:36:13,اعملوا ريتويت وﻻيك عشان توصل جميع مشاهدة مباراه #ليفربول_توتنهام,1134906517457657858
2019-06-01 19:36:13,"المصاريه اذا شافو مصري يشجع توتنهام :
 #ليفربول_توتنهام https://t.co/avgo0VTHwk",1134906515071152128
2019-06-01 19:36:14,لو فاز الليفر وهو المتوقع راح أكون فرحان عشان شخص واحد واللي هو المدرب كلوب. أما بالنسبة لصلاح فهو وصل لمجد ماراح ي… https://t.co/Kg59AWMmyr,1134906519961710592
2019-06-01 19:36:14,"الله عليك يا فخر العرب @MoSalah 
#فخر_العرب ❤
#نهائي_دوري_الأبطال 😉
#ليفربول_توتنهام 
#ليفربول_توتنهام بث مباشر 
#نهائي_الابطال",1134906520578199556
2019-06-01 19:36:14,#UCLFinal #ليلة_الأبطال #ليفربول_توتنهام https://t.co/BAlZHo9wj7,1134906519055732736
2019-06-01 19:36:13,"#ليفربول_توتنهام
صورة مقربة لدخول المشجعه 🏃🏻‍♂️ https://t.co/l32sK9IAVg",1134906516664967174
2019-06-01 19:36:14,"#الشروق_رياضة| نهائي مدريد .. صلاح يدخل التاريخ بهدفه في مرمى توتنهام

https://t.co/TXB3UHP194

#ليفربول_توتنهام… https://t.co/tXv06dIsov",1134906519445790720
2019-06-01 19:36:15,هلابي هلابيي,1134906522658594827
2019-06-01 19:36:15,#ليفربول_توتنهام https://t.co/5K0hk9gwXl,1134906523270942725
2019-06-01 19:36:15,هدف #صلاح هو ثاني أسرع هدف في تاريخ نهائي دوري الأبطال (1:48)، بعد هدف باولو #مالديني (50 ثانية)، مع #ميلان ضد ليفر… https://t.co/NvSyiEtJyu,1134906524428656641
